Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
NSAIDs與非鴉片類止痛藥,8,105年第39題,Coxibs cause less adverse effect than NSAIDs except which of the following one?,Upper GI bleeding,Anemia,Asthma,Congestive heart failure,Lower GI bleeding,D,COX-2抑制劑在心血管風險方面，包括心衰竭，並不比傳統NSAIDs更安全，甚至可能更高。這是因為COX-2抑制劑可能導致血栓素A2（TXA2）和前列環素（PGI2）之間的平衡失調，增加心血管事件的風險。研究顯示，COX-2選擇性抑制劑如celecoxib和etoricoxib在心血管風險上與非選擇性NSAIDs相似甚至更高。
NSAIDs與非鴉片類止痛藥,9,105年第43題,"Which of the following statement concerning ""joint pain"" is least likely?","In a normal joint, only intense pressure on the joint and movements exceeding the working range elicit pain.","Under pathological conditions such as joint inflammation, hypersensitivity of the nociceptive system occurs frequently and leads to pain on palpation.","Mechanical sensitization of joint nociceptors is generated by numerous inflammatory mediators, including prostaglandins and cytokines.","Spinal sensitization involves excitatory amino acids, neuropeptides, and spinal prostaglandins.",Better understanding of pain mechanisms can't improve pain therapy.,E,更好地理解疼痛機制確實可以改善疼痛治療，此敘述完全錯誤。研究顯示，深入了解疼痛的生理和病理機制有助於開發更有效的治療方法，減少不良反應並提高患者生活質量。
NSAIDs與非鴉片類止痛藥,10,"107年第1次第33題, 107年第3次第33題, 110年第44題, 112年第4題","Which of following description about non-steroidal anti-inflammatory drugs (NSAIDs) pharmacology is ""Correct""?",NSAIDs work by inhibiting the inflammation associated enzyme cyclooxygenase and lipoxygenase,Perioperative use of NSAIDs will not increase the risk of surgical site bleeding,NSAIDs will not have drug-drug interaction with anticoagulant (such as warfarin),Cyclooxygenase-2 (Cox-2) is the inducible isoform of cyclooxygenase but is constitutively expressed in certain tissues such as brain and kidney,"Compared with non-selective NSAIDs, long term use of Cox-2 inhibitors will significantly reduce the risk of serious cardiovascular events, renal failure or congestive heart failure.",D,COX-2雖然是誘導性酵素，但在腦部和腎臟等特定組織中呈組成性表現。這意味著即使在沒有炎症的情況下，這些組織也會持續表現COX-2，這對於維持正常的生理功能如腎臟的血流調節和腦部的神經保護至關重要。
NSAIDs與非鴉片類止痛藥,11,"109年第1次第41題, 109年第2次第41題",有關 NSAID 的敘述，下列何者為錯誤？,"NSAID 的副作用包含: Hypertension, Renal failure, Bleeding, Asthma。",Cyclooxygenase(COX)的產物是 hyperalgesia 的 mediators。,Topic NSAID 有被建議當作關節炎的第一線用藥。,COX 的止痛機制與 prostaglandin 有關但與 endocannabinoids 無關。,Paracetamol 的止痛會透過 TRPV1。,D,COX 的止痛機制與 prostaglandin 有關但與 endocannabinoids 無關。
NSAIDs與非鴉片類止痛藥,12,111年第11題,nonsteroidal anti-inflammatory drugs (NSAIDs) 藥物之作用當中，下列何者具有 vasodilatation、降低水分滯留及增加利尿效果之效用？,PGI2,PGD2,PGE2,TXA2 (thromboxane A2),NO,A,PGI2（前列環素）具有血管擴張、降低水分滯留及增加利尿的效果。這是因為PGI2能促進腎臟的血流量，增加尿液生成，並且在血管平滑肌中引起擴張，從而降低血壓和減少水分滯留。
NSAIDs與非鴉片類止痛藥,13,"111年第12題, 112年第19題",下列有關於 2015 年美國 FDA 對於 NSAID 之警語中，何者為非？,Risk appears to increase with higher doses,NSAID use increase risk of heart failure,There is insufficient evidence to determine the risk of individual NSAIDs,NSAIDs use in patients with risk factors for heart disease does not increase the likelihood of heart attack or stroke,NSAIDs increase the risk of heart attack/stroke regardless of existing heart disease,D,此選項錯誤，為本題正確答案。FDA 警語明確指出，對於已有心血管疾病危險因子的患者，使用 NSAIDs 會顯著增加心肌梗塞或中風的可能性，而非「不會增加」。這些危險因子包括高血壓、糖尿病、高血脂、吸菸、家族史等。實際上，有心血管危險因子的患者使用 NSAIDs 時面臨更高的心血管事件風險，需要特別謹慎評估風險效益比。臨床醫師在為這類患者處方 NSAIDs 時，應詳細評估患者的整體心血管風險。
NSAIDs與非鴉片類止痛藥,14,112年第17題,nonsteroidal anti-inflammatory drugs (NSAIDs)藥物之作用過程當中，產生下列何者具有 vasodilatation、抑制胃酸分泌的作用？,PGI2,PGD2,PGE2,TXA2 (thromboxane A2),NO,C,PGE2是正確答案。PGE2具有顯著的血管擴張作用，是重要的血管舒張因子之一，能夠放鬆血管平滑肌，降低血管阻力。同時，PGE2在胃腸道中發揮重要的保護作用，能夠抑制胃酸分泌，促進胃黏液和碳酸氫鈉的分泌，維護胃黏膜的完整性。這就是為什麼NSAIDs使用會增加胃潰瘍風險的原因，因為它們抑制了PGE2的合成，減少了胃黏膜的天然保護機制。PGE2的這種雙重作用使其成為理解NSAIDs副作用機制的關鍵分子。
NSAIDs與非鴉片類止痛藥,15,112年第35題,以下各種 Nonsteroidal Anti-Inflammatory Drug 何者可能產生 hepatotoxicity 的機率最高?,Indomethacin,Diclofenac,Naproxen,Ibuprofen,Meloxicam,B,Diclofenac是NSAIDs中最常與肝毒性相關的藥物之一。研究顯示，Diclofenac的代謝產物可能導致肝細胞損傷，尤其在長期使用或高劑量時風險更高。其肝毒性機制涉及肝細胞內的氧化應激和免疫介導的損傷，這使得Diclofenac在臨床使用中需特別注意肝功能的監測。
NSAIDs與非鴉片類止痛藥,16,113年第12題,Which drug below is less likely an option for inhibiting central sensitization following acute postoperative pain:,NMDA antagonist,Opioid,COX2-inhibitor,Pre-emptive analgesia,Gabapentin,B,鴉片類藥物主要透過與中樞神經系統中的μ-鴉片受體結合來緩解疼痛，然而其對中樞敏化的抑制效果有限。中樞敏化涉及神經系統的過度反應，通常需要針對性地抑制特定的神經傳導路徑，而鴉片類藥物的作用機制較為廣泛，無法有效抑制這種過度反應。
抗癲癇藥與抗憂鬱藥,1,102年第12題,抗癲癇藥物也是用於治療慢性神經病理性疼痛的主要藥物之一，下列有關於抗癲癇藥物之敘述何者為非?,所有抗癲癇藥物之作用機轉均為抑制離子通道，而抑制神經之病態性興奮。,Carbamazepine 對於中風後之中樞性疼痛之止痛效果，優於 lamotrigine。,NNT 是用於表示止痛效果的指標，而 NNH 則是用來表示止痛藥物副作用之指標。,Gabapetin 的結構類似 GABA，但卻並不作用於 GABA 或 GABA 受體，其主要是作用於鈣離子通道之次單元，而抑制鈣離子流及興奮性胺基酸之釋放。,大部分的抗癲癇藥物是以‖use-dependent‖的方式作用於阻斷鈉離子通道，而產生抑制神經過度興奮的神經病理性疼痛。,B,**錯誤** - Lamotrigine 對中樞性疼痛的療效實際上優於 carbamazepine，這是因為 lamotrigine 能夠更有效地減少神經元的過度興奮。
抗癲癇藥與抗憂鬱藥,2,"102年第36題, 105年第22題",抗憂鬱劑常被用在治療慢性神經病理性疼痛緩解，以下有關於此類藥物之敘述何者為非?,三環抗憂鬱劑是慢性疼痛治療的首選藥物。,Amitriptyline 可同時抑制 Serotonin 和 Noradrenaline 兩神經傳遞物質之回收，效果較其他選擇性回收抑制劑之治療效果佳，其 NNT 為 14 左右。,三環抗憂鬱劑之止痛效果，主要並非來自於其鎮靜或是抗焦慮之作用。,近來之研究發現三環抗憂鬱劑也具有抑制鈉離子通道及 NMDA 受體之作用。,青光眼及攝護腺肥大是使用三環抗憂鬱劑的禁忌症。,B,**錯誤** - Amitriptyline 的 NNT 約為 2-3，而非 14，這顯示其在治療神經病理性疼痛方面的高效性。
抗癲癇藥與抗憂鬱藥,3,103年第4題,A disadvantage to using carbamazepine is:,High dependency potential.,Hematological side effects.,Increased pain.,It is not as effective as other drugs.,Severity of depression.,B,**正確** - 血液學副作用是 carbamazepine 的重要缺點，這些副作用可能會影響患者的血液生成系統。
抗癲癇藥與抗憂鬱藥,4,103年第14題,For which of the following types of pain are antiepileptic drugs most commonly used?,Acute pain,Cancer pain,Chronic pain syndrome,Neuropathic pain,Nociceptive pain,D,**正確** - 神經病理性疼痛是抗癲癇藥物的主要適應症，這類藥物能有效減少神經元的異常放電。
抗癲癇藥與抗憂鬱藥,5,"103年第34題, 104年第15題","Regarding antidepressant analgesics, which of the following statement is least likely:","According to NNT data in treating postherpetic neuralgia, imipramine has slightly better analgesic effect than oxycodone.","Desipramine (25-300 mg/day, oral) has low potency of anticholinergic effect and sedation.","Fluoxetine (5-40 mg/day, oral) has no anticholinergic and sedative effects.","Venlafaxine is relatively free of muscarinic cholinergic, histaminic and alpha-adrenergic receptor effects.",The analgesic effect of antidepressants in treating neuropathic pain is dependent of its antidepressant action.,E,**錯誤** - 止痛效果獨立於抗憂鬱效果，這意味著即使在沒有明顯抗憂鬱效果的情況下，這些藥物仍能提供止痛作用。
抗癲癇藥與抗憂鬱藥,6,105年第44題,Which one of the following statement is most appropriate?,Gabapentin is an anticonvulsant and analgesic.,Minocycline is not an antibiotic.,Nifedipine (adalat) is a T-type Na+ channel opener.,∧-Conotoxins are derived from snakes.,,A,Gabapentin確實是一種抗癲癇藥物同時也具有鎮痛作用，特別是對神經性疼痛有效。雖然其確切的鎮痛機制尚未完全明確，但被認為是透過結合電壓閘控鈣離子通道的α2δ次單元來發揮作用。Gabapentin廣泛用於治療神經性疼痛、纖維肌痛症和其他慢性疼痛狀況。它已成為神經性疼痛治療的一線用藥之一。
抗癲癇藥與抗憂鬱藥,7,"107年第1次第34題, 107年第3次第34題, 110年第45題, 112年第5題","Which of following description about using anticonvulsants (used as Analgesic Drugs) is ""Correct""?",Most commonly used anticonvulsants as analgesics appear to work through potentiation of voltage-gated sodium and calcium channels,Sodium channel subtype 1.4 &1.5 are highly expressed in neuronal cell and could be the drug target for anticonvulsant medication,Gabapentinoid (Gabapentin & Pregabalin) works on GABA receptor,Topiramate works only on voltage-gated sodium channel,Lamotrigine and Phenytoin work on voltage-gated sodium channels,E,**正確** - 兩者都透過阻斷電壓閘控鈉離子通道發揮作用，這是其在治療神經病理性疼痛中的重要機制。
抗癲癇藥與抗憂鬱藥,8,"107年第3次第35題, 110年第47題, 112年第8題, 113年第3題","Which of following description about ""antidepressant analgesic"" is ""Correct""?","In terms of treatment efficacy (smaller number needed to treat NNT), pregabalin is much better than tricyclic antidepressant and listed as first line therapy for neuropathic pain","In terms of treatment efficacy (smaller number needed to treat NNT), SSRI is better than SNRI for common neuropathic pain such as postherpetic neuralgia or painful diabetic polyneuropathy",Venlafaxine is effective for treatment of neuropathic pain associated with breast cancer.,"For painful diabetic neuropathy, comparison of amitriptyline and pregabalin showed no difference in pain relief but fewer adverse effects with pregabalin.",All of above,D,**正確** - 這個比較結果是正確的，因為 pregabalin 的副作用較少，這在臨床上是一個重要的考量。
抗癲癇藥與抗憂鬱藥,9,107年第3次第24題,"Adjuvant analgesics are often prescribed for managing cancer pain, but which of the following drug – indication is not considered?",NSAIDs for Soft tissue pain,Anticonvulsants for Neuropathic pain,Steroids for Soft tissue pain,Baclofen for Muscle spasm,Benzodiazepines for Muscle spasm,C,**錯誤** - 類固醇不是軟組織疼痛的首選治療，因為它們的作用機制不適合這類疼痛。
抗癲癇藥與抗憂鬱藥,10,"109年第1次第42題, 109年第2次第42題",有關 antidepressant 與 anticonvulsant 止痛藥的敘述，下列何者為非?,antidepressant 對帶狀庖疹後疼痛，糖尿病神經病變與中樞疼痛有治療效果。,三環抗憂鬱劑的副作用有口乾，姿態性低血壓，嗜睡與椎體外症候群。,抗憂鬱劑是同時具有疼痛改善與抗憂鬱的效果，而不是只透過抗憂鬱的效果來止痛。,anticonvulsant 的止痛是透過鈉離子通道與 GABA pathway 等多重作用完成。,三叉神經痛，糖尿病神經病變也可用 anticonvulsant,B,**錯誤** - 椎體外症候群不是三環抗憂鬱劑的副作用，這是由於抗精神病藥物的多巴胺受體阻斷作用引起的。
抗癲癇藥與抗憂鬱藥,11,111年第34題,Which of the following consideration for the use of adjuvants in the older persons is correct?,amitriptyline has more anticholinergic adverse effects than second-generation tricyclic antidepressants (nortriptyline or desipramine),Serotonin and norepinephrine reuptake inhibitors (SNRIs) have fewer of these undesired effects from tricyclic antidepressants but a greater risk of drug interactions and elevation of liver enzymes,Antiepileptic drugs are first-line agents to treat neuropathic pain in older persons with labeled indications,"carbamazepine may be useful for neuropathic pain, but less ideal in older adults due to drug interactions, renal, liver, and hematologic toxicity",all of the above are correct descriptions for adjuvants use in older persons,E,**正確** - 所有描述都正確，這些考量在老年人中使用輔助止痛藥時尤為重要。
抗癲癇藥與抗憂鬱藥,12,112年第46題,Which of the anticonvulsants has the highest quality of evidence supporting its tolerability and efficacy in reducing SCI neuropathic pain?,Pregabalin,Gabapnetin,Lamotrigine,Valproic acid,Carbamazepine,A,**正確** - Pregabalin 有最高品質的證據支持，特別是在減少 SCI 神經病理性疼痛方面。
抗癲癇藥與抗憂鬱藥,13,113年第45題,"TCA (tricyclic antidepressant) is commonly suggested to be the first-line neuropathic pain drug, and which of the following description about TCA is not advisable?",The analgesic efficacy of the TCAs is likely to be independent of their antidepressant effect,"Secondary amine TCAs (e.g., desipramine, nortriptyline) are better tolerated than tertiary amine TCAs (e.g., amitriptyline, imipramine) but are less effective in analgesia",Use of a low initial dose and slow dose titration of all TCAs is important to minimize premature discontinuation due to side effects,"The anticholinergic effects of TCAs can cause cardiac toxicity including ventricular ectopic activity, prolonged QT interval, myocardial infarction, and sudden death",All of the above are correct.,B,**錯誤** - 二級胺的止痛效果並不比三級胺差，且副作用較少，使其在臨床上更為可取。
抗癲癇藥與抗憂鬱藥,14,113年第46題,Which description in comparison between gabapentin and pregabalin is wrong?,both exert their analgesic effect by binding to the α2δ subunit of voltage-gated calcium channels on primary afferent neurons,both have linear pharmacokinetics,few or no drug interactions occur with gabapentin and pregabalin,both are first-line therapy for post-herpetic neuralgia and peripheral diabetic neuralgia,All of the above are correct,B,**錯誤** - Gabapentin 是非線性，pregabalin 是線性。這是由於 gabapentin 的吸收機制在高劑量時會達到飽和，而 pregabalin 則不受此限制。
抗癲癇藥與抗憂鬱藥,15,114年第30題,Neuropathic pain 有多種不同原因，治療藥物的選擇必須依照病因決定，請問下列敘述，何者錯誤?,Amitriptyline 對 Spinal cord injury 的 neuropathic pain 治療效果不佳,Amitriptyline 對 phantom limb pain 的治療效果不佳,Venlafaxine 對 postmastectomy syndrome 的治療效果不佳,Selective Serotonin and Norepinephrine Reuptake Inhibitors 治療 painful diabetic neuropathic pain 的 NNT (number needed to treat)比 TCA 小,Selective Serotonin and Norepinephrine Reuptake Inhibitors(SNRI)一般比 Selective Serotonin Reuptake Inhibitors(SSRI)對 neuropathic pain 的治療效果好,D,**錯誤** - SNRI 的 NNT 通常比 TCA 大（效果較差），這是因為 TCA 在增加去甲腎上腺素和血清素濃度方面更為有效。
藥理學總論,1,107年第3次第32題,"Which of following description about opioid receptors is ""Incorrect""?",Opioid receptors belong to the superfamily of G protein–coupled receptors (GPCR),Opioid receptors are coupled to Gs protein to trigger downstream signaling.,Overall opioid receptor activation leads to inhibit neuronal activity,"In spinal cord level, opioid receptors are located mostly in the superficial dorsal horn",Endogenous opiates maybe released by immune cells and work on both central and peripheral opioid receptors.,B,這是錯誤的敘述，因為類鴉片受體實際上是與Gi/o蛋白偶聯，而非Gs蛋白。Gi/o蛋白偶聯會導致cAMP濃度下降、鉀離子通道開啟、鈣離子通道關閉，整體產生抑制性效應。相反地，如果是與Gs蛋白偶聯，會激活腺苷酸環化酶並增加cAMP，產生興奮性效應，這與類鴉片的鎮痛和鎮靜作用機制完全相反。這種抑制性G蛋白偶聯是類鴉片能夠有效抑制疼痛訊號傳遞的關鍵機制。
藥理學總論,2,111年第32題,Which of the folllowing pharmacokinetics and pharmacodynamics is seldom associated with aging?,slowed elimination of the drug and active and toxic metabolites,"increased bioavailability of drugs, that are highly protein-bound.",increased drug elimination time,increased sensitivity to both the desired and undesired effects of opioids,all of the above pharmacokinetics and pharmacodynamics are associated with aging,E,"所有列出的藥物動力學和藥物效力學變化都與老化密切相關，題目問的是「很少與老化相關」的選項，而實際上沒有任何一個選項符合這個條件。老化過程會同時影響藥物的吸收、分布、代謝和排除（ADME）各個環節，以及藥物作用的敏感性。這些生理變化使得老年病患在用藥時需要特別謹慎，通常需要調整劑量和給藥頻率。臨床上常遵循「start low, go slow」的原則來避免老年人的藥物不良反應。"
藥理學總論,3,111年第35題,Which of the following description for the analgesic pharmacology in infants and children is wrong?,Neonates and young children have increased maturation of hepatic enzymes involved in the metabolism of analgesics such as opioids and amide local anesthetics,"Neonates and young infants have decreased plasma concentrations of albumin and α1 acid glycoprotein, leading to decreased protein binding and greater concentrations of unbound, pharmacologically active drug",Neonates also have reduced glomerular filtration rates in the first few weeks of life resulting in slower elimination of many drugs,"Young infants have significantly less of pseudocholinesterase compared to the adult population, leading to prolonged clearance of the ester-type local anesthetics",all of the above are correct descriptions,A,新生兒和幼童的肝酶成熟度實際上是顯著降低的，而非增加。肝臟代謝酶系統（特別是CYP450酶群和葡萄糖醛酸結合酶）在出生時仍未完全發育，需要數月至數年才能達到成人水平。這種酶活性不足會導致依賴肝臟代謝的藥物（如類鴉片和醯胺類局部麻醉劑）清除率降低，藥物半衰期延長。臨床上這意味著新生兒和嬰兒使用這些藥物時需要減少劑量和延長給藥間隔，以避免藥物蓄積和毒性反應。
藥理學總論,4,113年第44題,Which opioid will be increased or decreased in plasma concentration through induction or inhibition of CYP3A4/ CYP450?,Morphine,Oxycodone,Hydromorphone,meperidine,All of the above opioids may be affected,B,Oxycodone是典型的CYP3A4基質藥物，約85%經由CYP3A4代謝為noroxycodone，另有少部分經CYP2D6代謝為活性更強的oxymorphone。當患者同時使用CYP3A4抑制劑（如紅黴素、酮康唑）時，oxycodone血漿濃度會顯著上升，增加呼吸抑制等不良反應風險；相反地，當使用CYP3A4誘導劑（如利福平、卡馬西平）時，會加速oxycodone代謝，導致血漿濃度下降，可能出現鎮痛效果不足或戒斷症狀。這種藥物交互作用在臨床上具有重要意義，需要密切監測並調整劑量。
纖維肌痛與肌筋膜疼痛,1,"102年第29題, 103年第24題, 104年第44題, 105年第29題, 110年第5題, 113年第11題",Which of the following is the acceptable statement about pathogenesis of FMS?,There is evidence to suggest that FMS is a disorder of abnormal processing of sensory information within the central nervous system.,"Several neurochemical mediators of pain, substance P, nerve growth factor, dynorphin A, glutamate, nitric oxide, serotonin and noradrenaline are viewed as pronociceptive because they carry or amplify afferent signals, leading to the brain perception of increased pain.",The elevation of cerebrospinal fluid substance P in FMS is due to lowered activity of cerebrospinal fluid substance P esterase because the rate of cleavage of libeled substance P by FMS cerebrospinal fluid was lower than normal.,"In different subtypes of FMS, it is believed that nerve growth factor may be responsible for the elevated cerebrospinal fluid substance P through its effects on central sensitization and neuroplasticity.","A specific Gi-protein–coupled receptor in peripheral blood leukocytes was found to be dysfunctional in patients with FMS. This resulted in lower baseline, also depressed intracellular levels of cyclic AMP and proposed as a diagnostic test for FMS.",A,**正確** - FMS主要是中樞神經系統對感覺訊息異常處理的疾病，這與中樞敏化的概念相符。
纖維肌痛與肌筋膜疼痛,2,"102年第49題, 103年第28題","The formal presentation of myofascial Pain syndrome diagnostic criteria includes each of the following, EXCEPT:",Resolution of the symptoms after Trigger Point injection with local anesthetic,Widespread body pain,Limited ROM of the affected muscle or muscles,Referral pain is evident,Twitch response and Trigger Points are the common features,B,**錯誤** - 廣泛性疼痛是纖維肌痛症的特徵，而非肌筋膜疼痛症候群，後者通常是局部或區域性疼痛。
纖維肌痛與肌筋膜疼痛,3,"103年第43題, 105年第32題",Which medication below is not suggested in fibromyalgia syndrome (FMS):,"Non-steroidal anti-inflammatory drugs (ibuprofen, naproxen)",Pregabalin,"Tricyclics (amitriptyline, nortriptyline, doxepin, cyclobenzaprine)",Opioids,All of the above treatments are suggested for pain management of OA,D,類鴉片藥物 (opioids) 是不建議用於FMS治療的藥物。研究顯示FMS患者對opioids的反應不佳，長期使用可能導致藥物依賴、耐受性增加，甚至可能加重疼痛敏感化現象 (opioid-induced hyperalgesia)。此外，opioids無法改善FMS的核心病理機轉，反而可能干擾內源性疼痛調節系統，因此各大醫學會均不推薦opioids作為FMS的治療選擇。
纖維肌痛與肌筋膜疼痛,4,"104年第26題, 106年第1次第10題, 107年第1次第4題, 107年第3次第4題, 108年第1次第8題, 108年第2次第8題, 113年第25題",關於纖維肌痛症 (fibromyalgia) 的定義，下列哪一項為 1990 年 ACR 的舊定義，而不屬於 2010 年的新定義：,"廣泛性疼痛(widespread pain index, WPI)為計算疼痛分布在身體 19 個區塊的數量",疼痛部位需分布在身體的上、下、左、右、及中軸等部位,"症狀嚴重度 (Symptom Severity Scale, SSS)包括疲憊程度、記憶力減弱、睡眠不足",SSS 還包括身體症狀，如頭痛、下腹痛、憂鬱等症狀,身體症狀是指過去半年內曾發生的病史,B,**正確** - 此為1990年舊標準的要求，2010年新標準已不使用，改為更靈活的症狀評估。
纖維肌痛與肌筋膜疼痛,5,"104年第29題, 108年第1次第6題, 108年第2次第6題, 111年第43題, 113年第8題",下列對於肌筋膜疼痛及纖維肌痛的比較，何者錯誤：,pain pattern: local or regional diffuse,referred pain: − +++,feature: trigger point tender point,muscle spasm: +++ ++,Taut band: ++ −,B,**錯誤** - MPS常有轉移痛(+++)，這是其診斷特徵之一，而FM較少有特定轉移痛模式。
纖維肌痛與肌筋膜疼痛,6,"105年第24題, 110年第3題, 114年第47題","Which of the following statement concerning ""muscle pain"" is least likely?",Muscle pain is distinct from cutaneous pain.,Muscle pain is one of the most common pain complaints.,Muscle nociceptors are free nerve endings that are connected to the central nervous system.,"Most nociceptors cannot be excited by algesic agents, including bradykinin, serotonin.","In damaged muscle, the nociceptors have a lowered mechanical threshold.",D,**錯誤** - 大部分傷害感受器可以被致痛劑激活，包括bradykinin和serotonin，這是疼痛感知的重要機制。
纖維肌痛與肌筋膜疼痛,7,106年第1次第23題,Which of the following is not true about objective characteristics of muscle pain?,No flexor reflexes when the muscle is painfully stimulated,"Autonomic symptoms such as a drop in blood pressure, sweating",Convergent input from muscle and other sources to central neurons,Supraspinal processing in centers different from those for cutaneous pain,All of the above are correct.,E,選項E「所有選項都是正確的」是本題的正確答案。由於題目問的是哪一項關於肌肉疼痛客觀特徵的描述「不正確」，而選項A到D都正確地描述了肌肉疼痛的客觀特徵，因此沒有任何一項是錯誤的。選項E準確地指出了這個事實。這種題型設計旨在測試考生對肌肉疼痛各個面向的全面理解，包括其反射特性、自主神經反應、神經傳導的convergence現象，以及中樞處理的特殊性。選擇此答案需要考生能夠綜合評估所有選項，並認識到它們都是肌肉疼痛神經生理學的重要特徵。這反映了疼痛醫學中需要整體性思維，全面理解不同類型疼痛的多重特徵。
纖維肌痛與肌筋膜疼痛,8,106年第1次第33題,下列對於肌筋膜疼痛及纖維肌痛的比較，何者錯誤：,"Myofascial pain: local or regional, Fibromyalgia: diffuse","Myofascial pain: referred pain: –, Fibromyalgia: +++","Myofascial pain: feature: trigger point, Fibromyalgia: tender point","Myofascial pain: muscle spasm: +++, Fibromyalgia: ++","Myofascial pain: Taut band: ++, Fibromyalgia: –",E,**答案選項** - 根據標準答案，但實際上此敘述在醫學上是正確的，因為MPS確實有緊繃帶現象，而FM沒有。
纖維肌痛與肌筋膜疼痛,9,106年第1次第35題,Which of the following common manifestations of fibromyalgia syndrome has the lowest prevalence?,Widespread pain,Peripheral pain generators,Fatigue,Irritable bladder syndrome,Sleep disorder,D,**正確** - 膀胱過敏症候群發生率相對較低，這使其成為纖維肌痛中較不常見的症狀。
纖維肌痛與肌筋膜疼痛,10,"106年第1次第36題, 107年第1次第20題, 107年第3次第20題, 107年第3次第50題, 109年第1次第39題, 109年第2次第39題",Which of the following is not a common manifestation of the myofascial pain syndrome?,Regional body pain and stiffness,Abnormal findings on neurological examination,Limited range of motion of the affected muscle,One or more trigger points,Referral (triggering) pain from a trigger point to a zone of reference.,B,**正確** - MPS患者神經學檢查通常正常，異常發現不常見，這是因為MPS主要影響肌肉而非神經系統。
纖維肌痛與肌筋膜疼痛,11,"108年第1次第31題, 108年第2次第31題",下列何者在 fibromyalgia syndrome 之臨床表現，出現頻率最低？,Sleep disorder,DepressionTramadol,Irritable bowel syndrome,Morning stiffness,Dizziness and lightheadedness,E,**正確** - 頭暈和頭重腳輕的發生頻率相對較低，這使其成為纖維肌痛中較不常見的症狀。
纖維肌痛與肌筋膜疼痛,12,"108年第1次第32題, 108年第2次第32題",有關 myofascial pain 和 fibromyalgia syndrome 在臨床表現之差異比較，下列敘述何者較不正確？,依疼痛形式而言，fibromyalgia syndrome 通常全身廣泛分配,導致頭痛的原因，在 myofascial pain 中，通常源自 occipital region,兩者皆易有 sleep disturbance,Myofascial pain 易容易出現 taut band,Myofascial pain 通常不會有 irritable bowel syndrome,B,**可能錯誤** - MPS引起頭痛的來源不限於枕部區域，其他部位的激痛點也可能引發頭痛。
纖維肌痛與肌筋膜疼痛,13,110年第32題,The innervation of deep somatic tissue like muscle and joint is quite complex. Which of the following description is not appropriate?,"The nociceptors are predominantly activated by non-physiological stimuli which may cause damage to the structures (e.g. overload, twisting, strong pressure, ischemic contraction).","During inflammation or after trauma, nociceptors of joint and muscle show pronounced sensitization, in particular for mechanical stimuli.",Descending inhibition is enhanced during chronic inflammation but seems to be normalized during acute inflammation.,Both primary afferent fibers as well as sympathetic reflexes may aggravate inflammatory lesions.,"Reduced release of hormones from the hypothalamic-pituitary-adrenal (HPA) axis such as cortisol, adrenal androgens and testosterone may cause a relative loss of anti-inflammatory activity.",C,**錯誤** - 慢性發炎時下行抑制是減弱的，不是增強，這是因為中樞神經系統的敏感化會導致疼痛的持續。
纖維肌痛與肌筋膜疼痛,14,112年第47題,"In addition to A tender spot is found with palpation, with or without referral of pain ('trigger point'). Which of the following symptoms by patient during palpation of tender spot is not commonly found?",Muscle stiffness or spasm,Limited range of motion of an associated joint,Pain worsens at rest,Palpation of taut band and/or nodule associated with tender spot,All of the above are common found,C,這是正確答案。激痛點疼痛的特點是活動時疼痛加劇，而休息時疼痛通常會減輕或消失。這與發炎性疼痛不同，發炎性疼痛往往在休息時也持續存在。激痛點疼痛主要是機械性疼痛，當肌肉收縮或被拉伸時疼痛會加重，而靜止休息時疼痛通常會緩解。因此，「休息時疼痛加重」並非激痛點的常見症狀。
纖維肌痛與肌筋膜疼痛,15,113年第34題,下列何者不是肌筋膜疼痛(Myofascial pain syndrome)臨床治療的常見方式？,Trigger point injection,Dry needling,"Physical therapy: stretch, strengthening or stabilization",Platelet rich plasma injection on muscle belly,Laser,D,富血小板血漿注射到肌腹（Platelet rich plasma injection on muscle belly）並非MPS的常見治療方式。PRP主要用於促進組織修復和再生，適用於肌腱炎、韌帶損傷等結構性損傷。而MPS的病理機制是功能性的激痛點形成，而非結構性的肌肉損傷。將PRP注射到肌腹而非激痛點，對於MPS的核心病理機制缺乏針對性，且缺乏充分的臨床證據支持其在MPS治療中的效果。
